path,width,height,sha256
assets/minecraft/textures/block/basalt_side.png,16,16,9ddba468118bd72d79e4e2b8ec74f010ac5a20f44fd3f4c9ae03b92fa8871414
assets/minecraft/textures/block/basalt_top.png,16,16,5b3579bc93b2ee90652000bdd66a8fbd3d49d5e211dace0c8d9dbe011e41f1a1
assets/minecraft/textures/block/beacon.png,16,16,3ae9b5530a0d5396e41e73103ac9997c169776e68c92065bd16a68cd039ddf8d
assets/minecraft/textures/block/bedrock.png,16,16,34438cb1f99a9677572e488234a158b1f27a66cfe99d91bce8a31758664350c3
assets/minecraft/textures/block/bee_nest_bottom.png,16,16,7706190b2b3ece6896668749d82b09ae74b89ffb2593fca90cc292c2be2dad15
assets/minecraft/textures/block/bee_nest_front.png,16,16,53a7bda6cf8c8a21deea94a43df0ea35b13e0d67fc00284a446d7a60cbe88468
assets/minecraft/textures/block/bee_nest_front_honey.png,16,16,5bc92fa0c42d151da3003d330cd805614edb7667cf4500d2cdfd0b0ad7c8bdc2
assets/minecraft/textures/block/bee_nest_side.png,16,16,52b26fb16110d9b32c3e6a16394d8761c949504b1de16a65216ca1ce9270ce77
assets/minecraft/textures/block/bee_nest_top.png,16,16,f8d286caa62e705d69c4d23b788c9422d922b537f8f42dac146eac4dda0c649d
assets/minecraft/textures/block/beehive_end.png,16,16,90d541e791a5b8c342e90553b7639217ae16b2b1343ff52dede1e86a60732856
assets/minecraft/textures/block/beehive_front.png,16,16,3331c6504bebb7a841d23ae0a2e2208bfedcfa56eaa18b831f57e90a92f1df64
assets/minecraft/textures/block/beehive_front_honey.png,16,16,fc6a54f806e3877aaee1d1b61dd506874cfa5fd15806bb6137d02fd78e4ca4d4
assets/minecraft/textures/block/beehive_side.png,16,16,b9a6297a32e45984744b887726955ede066fee4bf5f67465e1595e9d618fc6ab
assets/minecraft/textures/block/beetroots_stage0.png,16,16,eaf394710b9f274b63054914aa1ebd8b0bf73b69f2b160f4a00581f5727d56aa
assets/minecraft/textures/block/beetroots_stage1.png,16,16,539314c990c72c644501683ad1fed92da0c76e70f5974cec86451cde34020ebf
assets/minecraft/textures/block/beetroots_stage2.png,16,16,c060ac2227b3476fe372059838ddb6d93f075a78db5690fc1a516bbb27c69432
assets/minecraft/textures/block/beetroots_stage3.png,16,16,f5fb95065ee6377bc3eced47e53ea1741c4dca3e5b5a2b505b9a119649897143
assets/minecraft/textures/block/bell_bottom.png,16,16,7bc84d698778363154c0ae8a3ff74aba1d556867ea64498bb71e5da0f0c10083
assets/minecraft/textures/block/bell_side.png,16,16,88f8c2eaf877e205e5f0f873512da39475c2852051e23d1c53dc9f5bf071fbf5
assets/minecraft/textures/block/bell_top.png,16,16,60af336a9ba13e8a1f71323131132d8cfb3d9ce3a82f81b2379cbca6d94dfa0e
assets/minecraft/textures/block/big_dripleaf_side.png,16,16,2add89d89b9c3e6b8207d8d3d1b55b0c0c72a1bef54e404b465926a848cb2754
assets/minecraft/textures/block/big_dripleaf_stem.png,16,16,f108d20e987f52141697532fea0a4299cd7d8a860789865dcf15b8e49d06b115
assets/minecraft/textures/block/big_dripleaf_tip.png,16,16,729e6783050b447d3f6fa3561d330ab92ee29a659f3e5f4fcd5412fb75c5cbeb
assets/minecraft/textures/block/big_dripleaf_top.png,16,16,f0431760e5917e297ddd2c6e33a3359fd55b9a1d14aa65e72b4eda6e69bacb18
